game_title,platform,genre,rating,multiplayer
Honorable,PlayStation,RPG,0.1,false
Honorable,PlayStation,Shooter,6.6,false
Mrs,PlayStation,Action,2.4,false
Dr,Xbox,Shooter,1.4,false
Honorable,PC,Shooter,5.8,false
Dr,PlayStation,Sports,2.3,false
Ms,PlayStation,Horror,5.6,false
Dr,Xbox,Shooter,6.2,false
Honorable,PlayStation,Romance,0.8,false
Honorable,Nintendo Switch,Action,3.7,true
Rev,Xbox,Romance,2.1,true
Mrs,Xbox,RPG,4.3,true
Ms,Xbox,Romance,5.6,false
Ms,PlayStation,Shooter,2.9,true
Rev,Nintendo Switch,Romance,6.5,false
Rev,Nintendo Switch,Sports,5.2,false
Ms,Nintendo Switch,Romance,0.3,true
Ms,PC,Adventure,4.9,false
Honorable,PlayStation,Sports,9.3,true
Mrs,PlayStation,Action,4.3,true
Ms,Nintendo Switch,Shooter,6.4,false
Honorable,PC,Sports,9.1,true
Honorable,Nintendo Switch,Horror,3.6,false
Ms,PC,Shooter,4.0,true
Mrs,Nintendo Switch,Sports,2.3,false
Dr,PC,Romance,0.1,true
Mrs,PC,Horror,7.4,false
Honorable,Xbox,Adventure,1.2,false
Mrs,PlayStation,RPG,8.1,true
Rev,Nintendo Switch,Adventure,6.2,true
Ms,PlayStation,Shooter,3.3,false
Ms,PC,Action,4.7,false
Mrs,Nintendo Switch,RPG,8.5,true
Honorable,PlayStation,Action,3.4,false
Mrs,Xbox,Romance,7.0,false
Ms,Nintendo Switch,Romance,2.1,true
Honorable,Xbox,Horror,2.1,true
Rev,Nintendo Switch,Sports,3.7,false
Ms,PlayStation,RPG,8.9,true
Ms,Xbox,RPG,9.4,false
Rev,PlayStation,Adventure,2.5,false
Mrs,PlayStation,Romance,6.9,false
Honorable,Xbox,RPG,9.0,false
Ms,PC,Sports,5.2,false
Mr,Xbox,Shooter,5.1,true
Rev,Nintendo Switch,Horror,6.8,true
Mrs,PC,RPG,4.4,false
Rev,Nintendo Switch,RPG,7.2,false
Mrs,PlayStation,RPG,6.4,false
Honorable,Nintendo Switch,Horror,0.8,true
Rev,PlayStation,Romance,0.9,true
Dr,PC,Shooter,3.6,true
Mrs,PC,RPG,5.0,true
Honorable,Nintendo Switch,Romance,6.3,false
Dr,PC,Sports,2.7,false
Rev,Nintendo Switch,RPG,5.7,false
Rev,PC,Romance,4.3,true
Mrs,Xbox,Sports,2.4,true
Honorable,Nintendo Switch,Horror,6.8,true
Mr,PlayStation,RPG,8.3,true
Mrs,PC,Horror,9.7,true
Mrs,PC,Action,3.7,true
Rev,Xbox,Sports,6.5,false
Honorable,PC,Shooter,7.1,false
Honorable,PC,Shooter,9.1,false
Mr,Nintendo Switch,Action,3.9,true
Ms,PlayStation,Sports,6.6,false
Mr,Xbox,Shooter,6.3,false
Dr,Xbox,Adventure,8.2,false
Ms,Xbox,Action,2.2,true
Ms,Nintendo Switch,Sports,4.2,false
Mr,PC,Shooter,2.7,false
Dr,PC,Horror,8.0,true
Honorable,Nintendo Switch,Romance,7.2,false
Honorable,Xbox,RPG,3.0,true
Rev,Xbox,Romance,4.3,true
Rev,PC,Shooter,6.4,true
Dr,PC,Shooter,0.3,true
Mr,Nintendo Switch,Romance,4.3,false
Ms,Nintendo Switch,RPG,2.4,false
Rev,PlayStation,Romance,3.2,true
Rev,Nintendo Switch,Sports,7.7,false
Mrs,PlayStation,Sports,4.8,false
Rev,Nintendo Switch,Adventure,1.5,true
Honorable,PlayStation,Horror,2.7,true
Ms,Xbox,Adventure,5.1,true
Dr,Nintendo Switch,Action,2.5,false
Honorable,PlayStation,Shooter,9.7,false
Honorable,PC,Romance,8.3,false
Honorable,Nintendo Switch,Horror,1.0,true
Mrs,PlayStation,Shooter,2.1,true
Honorable,Nintendo Switch,Adventure,4.7,false
Honorable,PlayStation,Action,6.1,false
Mr,PlayStation,Shooter,6.4,false
Honorable,PlayStation,Romance,4.2,false
Dr,PlayStation,Sports,2.1,false
Mr,PlayStation,RPG,7.3,true
Rev,PC,RPG,2.5,true
Honorable,Xbox,Romance,3.4,false
Honorable,PlayStation,RPG,0.6,false
Dr,Nintendo Switch,Romance,7.4,false
Honorable,Nintendo Switch,Horror,9.6,true
Mr,PC,RPG,3.9,false
Ms,Xbox,RPG,8.3,false
Mr,Nintendo Switch,Romance,8.8,true
Rev,Xbox,Action,4.2,true
Rev,Nintendo Switch,Sports,0.1,true
Honorable,PC,Shooter,3.7,true
Rev,PC,Shooter,8.0,false
Rev,Xbox,Romance,7.4,true
Mr,PlayStation,RPG,8.0,true
Rev,Xbox,Horror,9.2,false
Ms,Xbox,Sports,6.9,false
Dr,PC,Romance,3.5,false
Dr,PC,Shooter,3.1,false
Dr,PC,Action,8.2,true
Dr,Xbox,Action,5.8,true
Mr,Nintendo Switch,Action,5.7,false
Rev,Nintendo Switch,Horror,0.2,true
Rev,PlayStation,Action,4.4,false
Mrs,Nintendo Switch,RPG,7.0,true
Ms,PlayStation,Shooter,4.0,true
Mrs,PC,Romance,1.5,false
Mr,PC,Action,1.5,false
Rev,Nintendo Switch,Sports,4.5,true
Ms,PC,RPG,7.6,false
Rev,Nintendo Switch,Adventure,9.3,false
Honorable,Xbox,Sports,5.4,false
Dr,Xbox,Shooter,6.8,false
Mrs,Nintendo Switch,Romance,3.4,true
Honorable,Nintendo Switch,Romance,7.4,false
Rev,PC,Adventure,7.9,false
Dr,Nintendo Switch,Adventure,5.1,true
Rev,PlayStation,Shooter,4.0,false
Mr,PC,Romance,0.2,true
Mr,PlayStation,Action,6.0,false
Mrs,PlayStation,Horror,6.5,false
Honorable,Nintendo Switch,Romance,1.5,true
Mrs,Xbox,Adventure,8.0,true
Dr,PlayStation,Sports,9.4,true
Mrs,Xbox,Romance,9.4,false
Ms,PlayStation,RPG,1.9,true
Ms,PlayStation,Shooter,5.0,false
Rev,Nintendo Switch,RPG,0.6,false
Mr,Nintendo Switch,Action,6.5,false
Dr,Nintendo Switch,Horror,7.8,true
Rev,Nintendo Switch,Horror,8.0,true
Rev,Nintendo Switch,RPG,6.3,false
Honorable,PC,Sports,0.1,false
Dr,PC,Romance,5.8,true
Rev,PC,Romance,4.3,false
Mrs,PC,Romance,4.1,false
Honorable,PC,Adventure,5.5,false
Rev,PC,Shooter,4.1,false
